**********
./datafusion-cli-25.0.0
create-single-datafusion.sql
Sat Jan 13 14:57:41 UTC 2024
**********
Query,iteration,time
1,1,3.744
1,2,0.302
1,3,0.285
2,1,0.182
2,2,0.128
2,3,0.128
3,1,0.346
3,2,0.268
3,3,0.254
4,1,1.365
4,2,0.246
4,3,0.244
5,1,5.414
5,2,5.235
5,3,5.321
6,1,3.559
6,2,3.406
6,3,3.429
7,1,0.163
7,2,0.117
7,3,0.117
8,1,0.199
8,2,0.135
8,3,0.141
9,1,6.037
9,2,5.742
9,3,5.950
10,1,5.930
10,2,5.480
10,3,5.572
11,1,1.630
11,2,0.825
11,3,0.823
12,1,1.665
12,2,0.898
12,3,0.890
13,1,3.792
13,2,3.619
13,3,3.626
14,1,7.898
14,2,6.898
14,3,6.784
15,1,4.102
15,2,3.868
15,3,3.890
16,1,7.608
16,2,7.075
16,3,7.391
17,1,10.694
17,2,10.342
17,3,10.580
18,1,9.669
18,2,9.344
18,3,9.329
19,1,21.271
19,2,20.820
19,3,20.878
20,1,1.188
20,2,0.199
20,3,0.196
21,1,10.879
21,2,2.604
21,3,2.561
22,1,12.617
22,2,3.247
22,3,3.181
23,1,24.263
23,2,8.843
23,3,8.840
24,1,59.792
24,2,22.556
24,3,22.377
25,1,3.767
25,2,1.250
25,3,1.240
26,1,1.845
26,2,0.996
26,3,1.009
27,1,3.719
27,2,1.252
27,3,1.256
28,1,10.960
28,2,4.152
28,3,4.125
29,1,13.543
29,2,12.372
29,3,12.365
30,1,1.223
30,2,1.161
30,3,1.163
31,1,5.349
31,2,4.735
31,3,4.755
32,1,10.276
32,2,6.513
32,3,6.412
33,1,
33,2,
33,3,
34,1,18.049
34,2,15.372
34,3,15.439
35,1,18.744
35,2,15.815
35,3,15.981
36,1,7.310
36,2,7.099
36,3,7.161
37,1,0.691
37,2,0.531
37,3,0.536
38,1,0.355
38,2,0.306
38,3,0.274
39,1,0.359
39,2,0.245
39,3,0.241
40,1,1.258
40,2,1.019
40,3,1.032
41,1,0.207
41,2,0.149
41,3,0.145
42,1,0.178
42,2,0.127
42,3,0.129
43,1,0.203
43,2,0.155
43,3,0.154
**********
./datafusion-cli-34.0.0
create-single-datafusion.sql
Sun Jan 14 12:47:18 UTC 2024
**********
Query,iteration,time
1,1,0.099
1,2,0.055
1,3,0.057
2,1,0.169
2,2,0.106
2,3,0.101
3,1,0.308
3,2,0.218
3,3,0.222
4,1,1.342
4,2,0.222
4,3,0.216
5,1,2.424
5,2,2.027
5,3,2.030
6,1,2.888
6,2,2.758
6,3,2.709
7,1,0.149
7,2,0.098
7,3,0.097
8,1,0.170
8,2,0.105
8,3,0.106
9,1,3.386
9,2,3.080
9,3,3.151
10,1,5.571
10,2,5.260
10,3,5.318
11,1,1.577
11,2,0.845
11,3,0.851
12,1,1.617
12,2,0.928
12,3,0.912
13,1,2.753
13,2,2.478
13,3,2.520
14,1,5.952
14,2,4.872
14,3,4.801
15,1,3.010
15,2,2.755
15,3,2.745
16,1,2.564
16,2,2.473
16,3,2.545
17,1,5.931
17,2,5.781
17,3,5.668
18,1,5.924
18,2,5.557
18,3,5.524
19,1,12.187
19,2,11.426
19,3,11.457
20,1,1.179
20,2,0.167
20,3,0.167
21,1,10.878
21,2,2.742
21,3,2.718
22,1,12.632
22,2,3.541
22,3,3.514
23,1,24.413
23,2,9.704
23,3,9.658
24,1,59.560
24,2,23.486
24,3,23.437
25,1,3.758
25,2,1.453
25,3,1.424
26,1,1.866
26,2,1.239
26,3,1.247
27,1,3.764
27,2,1.557
27,3,1.565
28,1,10.920
28,2,3.941
28,3,3.885
29,1,11.963
29,2,10.712
29,3,10.688
30,1,1.187
30,2,1.045
30,3,1.041
31,1,3.716
31,2,2.455
31,3,2.447
32,1,7.470
32,2,3.190
32,3,3.171
33,1,16.575
33,2,15.821
33,3,15.704
34,1,16.054
34,2,12.026
34,3,11.930
35,1,16.502
35,2,12.742
35,3,12.893
36,1,3.901
36,2,3.712
36,3,3.739
37,1,0.620
37,2,0.480
37,3,0.489
38,1,0.362
38,2,0.290
38,3,0.293
39,1,0.378
39,2,0.245
39,3,0.244
40,1,1.419
40,2,1.128
40,3,1.088
41,1,0.204
41,2,0.121
41,3,0.125
42,1,0.177
42,2,0.116
42,3,0.113
43,1,0.184
43,2,0.124
43,3,0.135
